,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20,50.53333333333333,47.86666666666667,155.33333333333334,233.93333333333334,296.06666666666666,389.0,500.73333333333335,416.26666666666665,527.2666666666667,617.1333333333333,669.1333333333333,718.6666666666666,684.7333333333333,802.6666666666666,765.0,816.0666666666667,873.6666666666666,833.3333333333334,871.2666666666667,837.1333333333333,907.2666666666667,947.3333333333334,951.0,943.8,1000.0,965.5333333333333,973.8,964.4,992.0,980.0,956.5333333333333,958.0,995.1333333333333,978.4,1000.0,1000.0,981.2666666666667,993.8666666666667,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
40,49.6,47.6,151.2,239.53333333333333,300.8,398.53333333333336,435.06666666666666,561.4,615.8,519.9333333333333,605.0,705.5333333333333,747.6,795.5333333333333,824.2666666666667,862.0666666666667,757.1333333333333,806.5333333333333,895.7333333333333,872.9333333333333,951.6666666666666,904.5333333333333,939.6,906.6666666666666,899.2666666666667,974.0,972.8666666666667,982.2666666666667,988.3333333333334,965.1333333333333,929.9333333333333,1000.0,965.4,970.2666666666667,1000.0,1000.0,1000.0,1000.0,993.2666666666667,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
50,49.733333333333334,49.4,146.33333333333334,223.93333333333334,296.53333333333336,391.8666666666667,450.1333333333333,486.0,523.8666666666667,648.4666666666667,679.4,631.0,779.5333333333333,683.9333333333333,750.6666666666666,761.4,839.9333333333333,760.6666666666666,852.8,872.7333333333333,930.5333333333333,892.8,909.2,966.4,951.0,932.4666666666667,983.2,933.0,925.8,938.1333333333333,996.6,999.9333333333333,972.4666666666667,1000.0,1000.0,995.6666666666666,975.9333333333333,1000.0,982.0,1000.0,988.6666666666666,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
60,50.13333333333333,48.53333333333333,146.8,216.26666666666668,300.53333333333336,327.3333333333333,460.0,460.2,512.0,576.1333333333333,712.2666666666667,693.2666666666667,762.1333333333333,707.7333333333333,750.2,754.2666666666667,799.3333333333334,818.4,869.8,903.5333333333333,928.8666666666667,927.9333333333333,940.2,933.4,972.2,868.8666666666667,903.6666666666666,976.4666666666667,983.4,990.6,999.3333333333334,964.2666666666667,969.3333333333334,968.4666666666667,965.6666666666666,973.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
80,47.266666666666666,48.8,158.13333333333333,221.6,295.46666666666664,414.0,432.8,496.8,514.6,574.9333333333333,622.7333333333333,618.4666666666667,667.4,783.5333333333333,703.0666666666667,876.2666666666667,806.0666666666667,896.4,857.2666666666667,894.8,921.3333333333334,941.8,999.4666666666667,925.6,979.6,937.2666666666667,974.6,970.0666666666667,974.0666666666667,968.3333333333334,994.1333333333333,945.2,1000.0,980.9333333333333,987.1333333333333,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,992.4,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
