0,1,2,3,4,5,6,7,8,9
0.1016,0.07200000000000001,0.0888,0.0232,0.0176,0.011200000000000002,0.0,0.0,0.0,0.0
0.09119999999999999,0.0776,0.0768,0.0344,0.012,0.0024,0.0,0.0,0.0,0.0
0.0776,0.0528,0.0408,0.0152,0.0104,0.0,0.0,0.0,0.0,0.0
0.0848,0.0576,0.022400000000000003,0.0168,0.0,0.0,0.0,0.0,0.0,0.0
0.0872,0.044800000000000006,0.036000000000000004,0.004,0.0032,0.0,0.0,0.0,0.0,0.0
0.07919999999999999,0.0392,0.044800000000000006,0.0016,0.0008,0.0,0.0,0.0,0.0,0.0
0.0768,0.032,0.0128,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
0.0864,0.0608,0.0152,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
0.08960000000000001,0.054400000000000004,0.013600000000000001,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
